purchasing,purchased,total
C10-12,D,2233.91
C10-12,E36,479.61
C10-12,E37-39,627.4
C10-12,F,177.46
C10-12,G45,203.08
C10-12,G46,9278.58
C10-12,G47,842.48
C10-12,H49,1771.76
C10-12,H50,22.62
C10-12,H51,93.21
C10-12,H52,1817.89
C10-12,H53,74.66
C10-12,I,379.56
C10-12,J58,49.41
C10-12,J59_60,197.43
C10-12,J61,235.64
C10-12,J62_63,424.83
C10-12,K64,1777.33
C10-12,K65,751.47
C10-12,K66,120.56
C10-12,L68B,638.15
C10-12,L68A,0
C10-12,M69_70,3502.79
C10-12,M71,495.56
C10-12,M72,0
C10-12,M73,2233.7
C10-12,M74_75,191.76
C10-12,N77,1115.59
C10-12,N78,2421
C10-12,N79,72.14
C10-12,N80-82,1225.8
C10-12,O,0
C10-12,P,311.24
C10-12,Q86,38.7
C10-12,Q87_88,0
C10-12,R90-92,0
C10-12,R93,51.9
C10-12,S94,62.33
C10-12,S95,323.21
C10-12,S96,139.13
C10-12,T,0
C10-12,HH,21480.51
C13-15,A01,142.73
C13-15,A02,0
C13-15,A03,5.51
C13-15,B,24.9
C13-15,C10-12,248.81
C13-15,C13-15,1606.51
C13-15,C16,10.33
C13-15,C17,111.31
C13-15,C18,24.23
C13-15,C19,43.95
C13-15,C20,321.25
C13-15,C21,0.63
C13-15,C22,213.27
C13-15,C23,15.3
C13-15,C24,6.27
C13-15,C25,136.14
C13-15,C26,4.07
C13-15,C27,7.95
C13-15,C28,36.42
C13-15,C29,2.71
C13-15,C30,0.18
C13-15,C31_32,10.34
C13-15,C33,13.27
C13-15,D,177.96
C13-15,E36,24.4
C13-15,E37-39,182.37
C13-15,F,38.92
C13-15,G45,14.43
C13-15,G46,1186.1
C13-15,G47,109.32
C13-15,H49,181.27
C13-15,H50,2.21
C13-15,H51,13.62
C13-15,H52,182.08
C13-15,H53,13.74
C13-15,I,43.67
C13-15,J58,5.35
C13-15,J59_60,19.01
C13-15,J61,54.47
C13-15,J62_63,63.28
C13-15,K64,222.22
C13-15,K65,53.61
C13-15,K66,21.16
C13-15,L68B,75.46
C13-15,L68A,0
C13-15,M69_70,263.51
C13-15,M71,69.97
C13-15,M72,0
C13-15,M73,209.57
C13-15,M74_75,8.24
C13-15,N77,62.52
C13-15,N78,229.21
C13-15,N79,10.5
C13-15,N80-82,116.75
C13-15,O,0
C13-15,P,43.66
C13-15,Q86,5.04
C13-15,Q87_88,0
C13-15,R90-92,0.04
C13-15,R93,5.95
C13-15,S94,24.65
C13-15,S95,7.33
C13-15,S96,5.55
C13-15,T,0
C13-15,HH,3432.85
C16,A01,0.01
C16,A02,1329.71
C16,A03,0
C16,B,4.08
C16,C10-12,24.26
C16,C13-15,20.57
C16,C16,1348.1
C16,C17,39.57
C16,C18,13.71
C16,C19,32.32
C16,C20,54.72
C16,C21,0.18
C16,C22,44.27
C16,C23,38.68
C16,C24,7.13
C16,C25,153.31
C16,C26,4.12
C16,C27,10.17
C16,C28,27.97
C16,C29,3.32
C16,C30,0.09
C16,C31_32,38.3
C16,C33,8.79
C16,D,173.95
C16,E36,17.1
C16,E37-39,130.35
C16,F,25.99
C16,G45,13.45
C16,G46,907.08
C16,G47,80.91
C16,H49,99.77
C16,H50,1.32
C16,H51,4.38
C16,H52,178.95
C16,H53,3.55
C16,I,42.33
C16,J58,1.88
C16,J59_60,12.41
C16,J61,13.17
C16,J62_63,35.78
C16,K64,92.4
C16,K65,24.47
C16,K66,12.02
C16,L68B,99.01
C16,L68A,0
C16,M69_70,262.12
C16,M71,66.53
C16,M72,0
C16,M73,13.84
C16,M74_75,5.47
C16,N77,29.05
C16,N78,172.21
C16,N79,4.82
C16,N80-82,105.93
C16,O,0
C16,P,21.27
C16,Q86,0.6
C16,Q87_88,0
C16,R90-92,0.04
C16,R93,5.21
C16,S94,5.08
C16,S95,7.74
C16,S96,0.93
C16,T,0
C16,HH,2371.85
C17,A01,0
C17,A02,99.62
C17,A03,0
C17,B,80.32
C17,C10-12,96.57
C17,C13-15,298.03
C17,C16,167.93
C17,C17,1595.83
C17,C18,107.89
C17,C19,74.54
C17,C20,374.86
