purchasing,purchased,total
C31_32,A03,0
C31_32,B,14.38
C31_32,C10-12,59.04
C31_32,C13-15,178.19
C31_32,C16,736.04
C31_32,C17,84.67
C31_32,C18,19.77
C31_32,C19,33.47
C31_32,C20,205.76
C31_32,C21,5.44
C31_32,C22,220.69
C31_32,C23,123.98
C31_32,C24,107.46
C31_32,C25,247.29
C31_32,C26,50.3
C31_32,C27,40.19
C31_32,C28,50.64
C31_32,C29,3.75
C31_32,C30,1.03
C31_32,C31_32,318.64
C31_32,C33,34.1
C31_32,D,58.14
C31_32,E36,12.52
C31_32,E37-39,68.15
C31_32,F,43.75
C31_32,G45,13.77
C31_32,G46,1217.31
C31_32,G47,107.07
C31_32,H49,117.55
C31_32,H50,1.11
C31_32,H51,7.8
C31_32,H52,133.2
C31_32,H53,13.44
C31_32,I,71.51
C31_32,J58,3.63
C31_32,J59_60,29.1
C31_32,J61,45.06
C31_32,J62_63,52.71
C31_32,K64,138.83
C31_32,K65,52.11
C31_32,K66,22.86
C31_32,L68B,97.11
C31_32,L68A,0
C31_32,M69_70,401.07
C31_32,M71,81.8
C31_32,M72,0
C31_32,M73,307.92
C31_32,M74_75,10.68
C31_32,N77,75.29
C31_32,N78,237.62
C31_32,N79,8.94
C31_32,N80-82,140.17
C31_32,O,0
C31_32,P,53.33
C31_32,Q86,3.17
C31_32,Q87_88,0
C31_32,R90-92,0.05
C31_32,R93,10.67
C31_32,S94,11.71
C31_32,S95,146.2
C31_32,S96,7.51
C31_32,T,0
C31_32,HH,4698.94
C33,A01,0.01
C33,A02,0.01
C33,A03,0
C33,B,31.17
C33,C10-12,66.39
C33,C13-15,107.69
C33,C16,37.82
C33,C17,43.5
C33,C18,17.8
C33,C19,68.23
C33,C20,193.86
C33,C21,0.08
C33,C22,819.69
C33,C23,181.17
C33,C24,1243
C33,C25,2177.45
C33,C26,214.03
C33,C27,161.52
C33,C28,734.68
C33,C29,90.94
C33,C30,35.92
C33,C31_32,250.73
C33,C33,5319.25
C33,D,93.54
C33,E36,35.54
C33,E37-39,127.83
C33,F,166.86
C33,G45,41.11
C33,G46,2445.66
C33,G47,219.65
C33,H49,193.89
C33,H50,2.2
C33,H51,9.46
C33,H52,267.66
C33,H53,18.12
C33,I,107.68
C33,J58,5.98
C33,J59_60,24.43
C33,J61,68.21
C33,J62_63,92.12
C33,K64,177.72
C33,K65,52.95
C33,K66,27.65
C33,L68B,93.82
C33,L68A,0
C33,M69_70,571.45
C33,M71,183.65
C33,M72,8.25
C33,M73,74.41
C33,M74_75,16.63
C33,N77,145.43
C33,N78,734.28
C33,N79,18.17
C33,N80-82,195.93
C33,O,0
C33,P,168.18
C33,Q86,6.49
C33,Q87_88,0
C33,R90-92,0.07
C33,R93,15.83
C33,S94,12.78
C33,S95,170.94
C33,S96,15.53
C33,T,0
C33,HH,15986.54
D,A01,0
D,A02,0.02
D,A03,10.98
D,B,181.77
D,C10-12,32.86
D,C13-15,4.62
D,C16,2.28
D,C17,14.4
D,C18,10.57
D,C19,357.47
D,C20,1630.28
D,C21,0.33
D,C22,218.62
D,C23,190.42
D,C24,23.32
D,C25,354.62
D,C26,70.21
D,C27,114.65
D,C28,178.08
D,C29,18.36
D,C30,0.42
D,C31_32,3.9
D,C33,69.86
D,D,42287.13
D,E36,129.61
D,E37-39,435.11
D,F,1373.29
D,G45,14.83
D,G46,1273.18
D,G47,110.02
D,H49,716.49
D,H50,9.34
D,H51,27.09
D,H52,319.43
D,H53,81.73
D,I,162.69
D,J58,22.75
D,J59_60,200
D,J61,262.15
D,J62_63,401.77
D,K64,500.32
D,K65,85.43
D,K66,68.52
D,L68B,200.15
D,L68A,0
D,M69_70,1301.41
D,M71,332.81
D,M72,0
D,M73,85.07
D,M74_75,76.68
D,N77,620.52
D,N78,274.38
D,N79,15.79
D,N80-82,1055.96
D,O,0
D,P,376.76
D,Q86,17.53
D,Q87_88,0
D,R90-92,1.93
D,R93,24.71
D,S94,21.41
D,S95,3.59
D,S96,179.21
D,T,0
D,HH,10490.84
E36,A01,7.65
E36,A02,0.51
E36,A03,0
E36,B,16.94
E36,C10-12,20.23
E36,C13-15,1.96
E36,C16,3.81
E36,C17,15.1
E36,C18,11.12
E36,C19,42.91
E36,C20,44.18
E36,C21,0.19
E36,C22,9.09
E36,C23,28.83
E36,C24,39.63
E36,C25,153.71
E36,C26,5.14
E36,C27,22.41
E36,C28,64.66
E36,C29,4.79
E36,C30,4.3
E36,C31_32,5.13
E36,C33,29.32
E36,D,230.77
E36,E36,1276.28
E36,E37-39,557.41
E36,F,294.67
E36,G45,11.73
E36,G46,285.09
E36,G47,18.7
E36,H49,64.76
E36,H50,0.29
E36,H51,3.01
E36,H52,118.53
E36,H53,18.31
E36,I,51.98
E36,J58,11.13
E36,J59_60,51.09
E36,J61,32.77
E36,J62_63,102.73
E36,K64,666.03
E36,K65,24.65
E36,K66,35
E36,L68B,58.2
E36,L68A,0
E36,M69_70,378.52
E36,M71,101.42
E36,M72,0
E36,M73,2.08
E36,M74_75,14.88
E36,N77,170.94
E36,N78,194.99
E36,N79,10.19
E36,N80-82,617.45
E36,O,0
E36,P,19.41
E36,Q86,4.24
E36,Q87_88,0
E36,R90-92,0.83
E36,R93,8.11
E36,S94,49.89
E36,S95,1.49
E36,S96,8.78
E36,T,0
E36,HH,1650.29
E37-39,A01,0.49
E37-39,A02,4.13
E37-39,A03,0.76
E37-39,B,10.73
E37-39,C10-12,95.37
E37-39,C13-15,26.44
E37-39,C16,59.18
E37-39,C17,144.29
E37-39,C18,56.77
E37-39,C19,221.09
E37-39,C20,53.77
E37-39,C21,1.41
E37-39,C22,90.46
E37-39,C23,174.12
E37-39,C24,416.08
E37-39,C25,309.01
E37-39,C26,13.95
E37-39,C27,13.99
E37-39,C28,94.79
E37-39,C29,72.68
E37-39,C30,33.94
E37-39,C31_32,17.51
E37-39,C33,113.93
E37-39,D,296.47
E37-39,E36,55.58
E37-39,E37-39,6093.4
E37-39,F,325.63
E37-39,G45,106.59
E37-39,G46,562.49
E37-39,G47,55.2
E37-39,H49,304.7
E37-39,H50,0.94
E37-39,H51,16.15
E37-39,H52,188.24
E37-39,H53,95.01
E37-39,I,139.69
E37-39,J58,68.17
E37-39,J59_60,26.22
E37-39,J61,105.94
E37-39,J62_63,103.39
E37-39,K64,275.94
E37-39,K65,76.35
E37-39,K66,13.84
E37-39,L68B,198.25
E37-39,L68A,0
E37-39,M69_70,600.68
E37-39,M71,191.02
E37-39,M72,0
E37-39,M73,103.17
E37-39,M74_75,76.12
E37-39,N77,364.18
E37-39,N78,561.81
E37-39,N79,8.27
E37-39,N80-82,1668.31
E37-39,O,0
E37-39,P,85.33
E37-39,Q86,14.94
E37-39,Q87_88,0
E37-39,R90-92,7.59
E37-39,R93,22.58
E37-39,S94,53.37
E37-39,S95,7.91
E37-39,S96,4.15
E37-39,T,0
E37-39,HH,10635.36
F,A01,0.01
F,A02,270.53
F,A03,66.21
F,B,1119.37
F,C10-12,289.9
F,C13-15,300.87
F,C16,3127.95
F,C17,237.43
F,C18,72.91
F,C19,1221.49
F,C20,998.62
F,C21,0.78
F,C22,3144.59
F,C23,10226.48
F,C24,2292.65
F,C25,10548.24
F,C26,417.41
F,C27,1188.27
F,C28,1175.43
F,C29,37.03
F,C30,2.43
F,C31_32,147.86
F,C33,2221.04
F,D,278.1
F,E36,205.95
F,E37-39,1178.07
F,F,38619.79
F,G45,114.53
F,G46,10886.96
F,G47,1011.38
F,H49,1294.85
F,H50,15.39
F,H51,83.57
F,H52,1912.69
F,H53,124.62
F,I,372.16
F,J58,39.47
F,J59_60,307.96
F,J61,608.41
F,J62_63,675.48
F,K64,3451.09
F,K65,533.82
F,K66,386.05
F,L68B,806.41
F,L68A,0
F,M69_70,6922.98
F,M71,4839.43
F,M72,4.34
F,M73,271.52
F,M74_75,196.1
F,N77,2377.88
F,N78,5722.05
F,N79,90.58
F,N80-82,2936.14
F,O,0
F,P,478.81
F,Q86,69.09
F,Q87_88,0
F,R90-92,1.34
F,R93,43.28
F,S94,102.07
F,S95,92.95
F,S96,308.51
F,T,0
F,HH,67575.34
G45,A01,0
G45,A02,0
G45,A03,0
G45,B,11.83
G45,C10-12,131.08
G45,C13-15,65.9
G45,C16,31.61
G45,C17,31.37
G45,C18,73
G45,C19,146.94
G45,C20,93.31
G45,C21,0.1
G45,C22,253.81
G45,C23,103.1
G45,C24,15.52
G45,C25,221.3
G45,C26,43.44
G45,C27,48.04
G45,C28,161.77
G45,C29,1396.86
G45,C30,9.89
G45,C31_32,26.48
G45,C33,857.39
G45,D,319.59
G45,E36,45.55
G45,E37-39,197.09
G45,F,122.22
G45,G45,932.4
G45,G46,603.65
G45,G47,111.84
G45,H49,799.94
G45,H50,1.49
G45,H51,25.96
G45,H52,619.51
G45,H53,133.22
G45,I,212.02
G45,J58,14.31
G45,J59_60,134.64
G45,J61,391.5
G45,J62_63,184.89
G45,K64,597.8
G45,K65,146.45
G45,K66,27.71
G45,L68B,736.28
G45,L68A,0
G45,M69_70,1202.37
G45,M71,211.74
G45,M72,0
G45,M73,50.49
G45,M74_75,70.79
G45,N77,459.85
G45,N78,203
G45,N79,63.88
G45,N80-82,907.94
G45,O,0
G45,P,169.86
G45,Q86,9.07
G45,Q87_88,0
G45,R90-92,0.95
G45,R93,29.15
G45,S94,184.46
G45,S95,13.23
G45,S96,35.59
G45,T,0
G45,HH,17883
G46,A01,0
G46,A02,1.06
G46,A03,0
G46,B,6.75
G46,C10-12,875.22
G46,C13-15,388.34
G46,C16,129.25
G46,C17,135.04
G46,C18,529.4
G46,C19,1454.68
G46,C20,312.94
G46,C21,2.31
G46,C22,745.3
G46,C23,212.22
G46,C24,17.29
G46,C25,40.58
G46,C26,116.43
G46,C27,186.07
G46,C28,127.42
G46,C29,275.77
G46,C30,4.23
G46,C31_32,90.2
G46,C33,841.2
G46,D,1063.41
G46,E36,216.51
G46,E37-39,539.61
G46,F,185.76
G46,G45,815.88
G46,G46,12758.31
G46,G47,152.53
G46,H49,10151.91
G46,H50,3.13
G46,H51,156.93
G46,H52,5317.32
G46,H53,876.25
G46,I,3779.39
G46,J58,101.14
G46,J59_60,819.72
G46,J61,3241.8
G46,J62_63,1415.5
G46,K64,6208.36
G46,K65,956.1
G46,K66,136.89
G46,L68B,10731.73
G46,L68A,0
G46,M69_70,11177.8
G46,M71,446.91
G46,M72,0
G46,M73,329
G46,M74_75,605.37
G46,N77,3167.27
G46,N78,1493
G46,N79,597.04
G46,N80-82,6590.12
G46,O,0
G46,P,678.68
G46,Q86,35.89
G46,Q87_88,0
G46,R90-92,0.88
G46,R93,546.46
G46,S94,437.91
G46,S95,20.1
G46,S96,216.68
G46,T,0
G46,HH,56199
G47,A01,0
G47,A02,0
G47,A03,0
G47,B,17.35
G47,C10-12,586.27
G47,C13-15,152.41
G47,C16,52.58
G47,C17,336.48
G47,C18,628.66
G47,C19,506.69
G47,C20,195.88
G47,C21,0.47
G47,C22,1050.6
G47,C23,210.09
G47,C24,36.41
G47,C25,194.13
G47,C26,48.56
G47,C27,131.19
G47,C28,89.88
G47,C29,164.55
G47,C30,3.99
G47,C31_32,137.81
G47,C33,361.34
G47,D,1307.92
G47,E36,204.6
G47,E37-39,607.16
G47,F,173.7
G47,G45,275.22
G47,G46,3170.24
G47,G47,112.14
G47,H49,3383.75
G47,H50,2.6
G47,H51,149.2
G47,H52,1517.41
G47,H53,585.01
G47,I,2379.06
G47,J58,85.79
G47,J59_60,662.23
G47,J61,1778.24
G47,J62_63,763.18
G47,K64,3686.62
G47,K65,549.32
G47,K66,131.84
G47,L68B,5561.37
G47,L68A,0
G47,M69_70,3909.02
G47,M71,277.64
G47,M72,0
G47,M73,2817.31
G47,M74_75,180.8
G47,N77,1138.25
G47,N78,967
G47,N79,379.77
G47,N80-82,2410.7
G47,O,0
G47,P,537.72
G47,Q86,27.76
G47,Q87_88,0
G47,R90-92,3.73
G47,R93,338.58
G47,S94,34.55
G47,S95,70.52
G47,S96,131.45
G47,T,0
G47,HH,49798
H49,A01,0
H49,A02,0.23
H49,A03,0
H49,B,1.49
H49,C10-12,47.8
H49,C13-15,6.68
H49,C16,2.38
H49,C17,15.24
H49,C18,12.1
H49,C19,3583.13
H49,C20,16.72
H49,C21,0.23
H49,C22,161.57
H49,C23,72.89
H49,C24,7.91
H49,C25,129.93
H49,C26,2.9
H49,C27,18.35
H49,C28,52.76
H49,C29,92.99
H49,C30,109.18
H49,C31_32,2.81
H49,C33,142.62
H49,D,882.77
H49,E36,11.07
H49,E37-39,85.71
H49,F,99.05
H49,G45,1025.48
H49,G46,959.92
H49,G47,61.06
H49,H49,9905.22
H49,H50,3.31
H49,H51,21.01
H49,H52,5710.79
H49,H53,50.45
H49,I,721.54
H49,J58,10.53
H49,J59_60,73.05
H49,J61,97.33
H49,J62_63,148.45
H49,K64,1210.86
H49,K65,448.73
H49,K66,261.92
H49,L68B,900.26
H49,L68A,0
H49,M69_70,1244.14
H49,M71,164.65
H49,M72,0
H49,M73,158.54
H49,M74_75,67.25
H49,N77,925.32
H49,N78,1240.28
H49,N79,162.92
H49,N80-82,743.14
H49,O,0
H49,P,705.96
H49,Q86,18.39
H49,Q87_88,0
H49,R90-92,0.39
H49,R93,102.4
H49,S94,32.88
H49,S95,3.48
H49,S96,138.62
H49,T,0
H49,HH,28696.15
H50,A01,0
H50,A02,0
H50,A03,0
H50,B,0.67
H50,C10-12,54.63
H50,C13-15,12.28
H50,C16,8.47
H50,C17,13.2
H50,C18,5.82
H50,C19,585.36
H50,C20,13.52
H50,C21,0.09
H50,C22,32.9
H50,C23,4.95
H50,C24,2.67
H50,C25,11.59
H50,C26,2.09
H50,C27,3.34
H50,C28,11.52
H50,C29,9.86
H50,C30,43.41
H50,C31_32,0.36
H50,C33,22.65
H50,D,0
H50,E36,3.9
H50,E37-39,44.91
H50,F,98
H50,G45,15.75
H50,G46,272.01
H50,G47,14.01
H50,H49,54.51
H50,H50,513.99
H50,H51,15.7
H50,H52,2345.03
H50,H53,34.62
H50,I,284.42
H50,J58,4.49
H50,J59_60,45.85
H50,J61,58.6
H50,J62_63,97.75
H50,K64,107.09
H50,K65,291.62
H50,K66,81.4
H50,L68B,221.55
H50,L68A,0
H50,M69_70,781.88
H50,M71,114.34
H50,M72,0
H50,M73,6.73
H50,M74_75,50.35
H50,N77,325.59
H50,N78,210
H50,N79,82.94
H50,N80-82,553.37
H50,O,0
H50,P,21.7
H50,Q86,5.44
H50,Q87_88,0
H50,R90-92,0
H50,R93,40.35
H50,S94,25.85
H50,S95,0
H50,S96,18.69
H50,T,0
H50,HH,813
H51,A01,0
H51,A02,0
H51,A03,0
H51,B,2.91
H51,C10-12,153.59
H51,C13-15,4.78
H51,C16,2.65
H51,C17,1.11
H51,C18,7.28
H51,C19,1920.16
H51,C20,5.88
H51,C21,0.08
H51,C22,37.18
H51,C23,1.42
H51,C24,0.33
H51,C25,21.28
H51,C26,0.47
H51,C27,2.8
H51,C28,9.11
H51,C29,14.82
H51,C30,19.4
H51,C31_32,0
H51,C33,293.98
H51,D,12.77
H51,E36,8.54
H51,E37-39,47.63
H51,F,54.16
H51,G45,40.34
H51,G46,443.66
H51,G47,26.34
H51,H49,103.36
H51,H50,0.91
H51,H51,815.66
H51,H52,611.39
H51,H53,49.52
H51,I,121.51
H51,J58,6.37
H51,J59_60,58.56
H51,J61,33.02
H51,J62_63,63.65
H51,K64,150.84
H51,K65,127.64
H51,K66,45.72
H51,L68B,186.04
H51,L68A,0
H51,M69_70,399.67
H51,M71,51.26
H51,M72,0
H51,M73,89.86
H51,M74_75,23.39
H51,N77,155.17
H51,N78,285
H51,N79,79.21
H51,N80-82,215.43
H51,O,0
H51,P,347.07
H51,Q86,4.76
H51,Q87_88,0
H51,R90-92,0
H51,R93,16.78
H51,S94,0.87
H51,S95,0
H51,S96,31.17
H51,T,0
H51,HH,5004
H52,A01,0
H52,A02,0
H52,A03,0
H52,B,2.06
H52,C10-12,64.12
H52,C13-15,10.25
H52,C16,42.42
H52,C17,52.26
H52,C18,66.04
H52,C19,292.27
H52,C20,15.86
H52,C21,1.06
H52,C22,21.04
H52,C23,30.44
H52,C24,12.51
H52,C25,132.66
H52,C26,28.84
H52,C27,61.95
H52,C28,67.21
H52,C29,84.47
H52,C30,9.06
H52,C31_32,15.42
H52,C33,285.77
H52,D,237.93
H52,E36,39.25
H52,E37-39,122.73
H52,F,164.32
H52,G45,118.26
H52,G46,605.56
H52,G47,37.23
H52,H49,439.3
H52,H50,209.44
H52,H51,111.33
H52,H52,7968.86
H52,H53,44.4
H52,I,243.08
H52,J58,11.6
H52,J59_60,109.06
H52,J61,152.23
H52,J62_63,137.14
H52,K64,2447.18
H52,K65,139.25
H52,K66,53.35
H52,L68B,846.3
H52,L68A,0
H52,M69_70,1701.32
H52,M71,205.04
H52,M72,0.04
H52,M73,33.82
H52,M74_75,69.94
H52,N77,555.42
H52,N78,857.01
H52,N79,139.89
H52,N80-82,903.12
H52,O,0
H52,P,182.99
H52,Q86,22.42
H52,Q87_88,0
H52,R90-92,0.02
H52,R93,34.34
H52,S94,146.51
H52,S95,10.04
H52,S96,64.23
H52,T,0
H52,HH,14068.23
H53,A01,0
H53,A02,0
H53,A03,0
H53,B,1.4
H53,C10-12,26.88
H53,C13-15,2.88
H53,C16,0.64
H53,C17,3.09
H53,C18,5.29
H53,C19,34.23
H53,C20,5.42
H53,C21,0.09
H53,C22,60.48
H53,C23,0
H53,C24,2.45
H53,C25,9.37
H53,C26,30.7
H53,C27,26.86
H53,C28,4.46
H53,C29,6.88
H53,C30,0.2
H53,C31_32,0
H53,C33,16.13
H53,D,44.57
H53,E36,15.88
H53,E37-39,47.19
H53,F,27.56
H53,G45,8.42
H53,G46,110.64
H53,G47,9.32
H53,H49,29.48
H53,H50,0.15
H53,H51,6.82
H53,H52,21.32
H53,H53,863.04
H53,I,54.56
H53,J58,3.02
H53,J59_60,29.72
H53,J61,410.66
H53,J62_63,54.82
H53,K64,109.23
H53,K65,51.03
H53,K66,52.67
H53,L68B,215.71
H53,L68A,0
H53,M69_70,165.4
H53,M71,10.11
H53,M72,0
H53,M73,0
H53,M74_75,7.82
H53,N77,56.04
H53,N78,200
H53,N79,1.02
H53,N80-82,113.96
H53,O,0
H53,P,98.62
H53,Q86,1.77
H53,Q87_88,0
H53,R90-92,0
H53,R93,8.77
H53,S94,8.64
H53,S95,1.18
H53,S96,3.87
H53,T,0
H53,HH,8925
I,A01,911.25
I,A02,3.18
I,A03,373.34
I,B,88.84
I,C10-12,13187.12
I,C13-15,87.62
I,C16,40.01
I,C17,69.16
I,C18,52.23
I,C19,78.6
I,C20,85.15
I,C21,0.81
I,C22,29.21
I,C23,89.24
I,C24,0
I,C25,63.85
I,C26,13.11
I,C27,27.11
I,C28,25.11
I,C29,5.37
I,C30,0.92
I,C31_32,110.36
I,C33,13.31
I,D,897.27
I,E36,142.23
I,E37-39,243.5
I,F,79.84
I,G45,53.52
I,G46,4751.57
I,G47,451.88
I,H49,755.47
I,H50,9.87
I,H51,77.05
I,H52,862.43
I,H53,128.78
I,I,2347.39
I,J58,15.8
I,J59_60,109.03
I,J61,457.12
I,J62_63,160.2
I,K64,1162.23
I,K65,213.84
I,K66,98.67
I,L68B,1742.81
I,L68A,0
I,M69_70,2089.64
I,M71,309.86
I,M72,0
I,M73,139.54
I,M74_75,71.16
I,N77,275.81
I,N78,461.12
I,N79,319.85
I,N80-82,827.69
I,O,0
I,P,133.76
I,Q86,67.84
I,Q87_88,0
I,R90-92,1.41
I,R93,304.12
I,S94,73.47
I,S95,71.31
I,S96,9.03
I,T,0
I,HH,30113.75
J58,A01,0.06
J58,A02,0.51
J58,A03,0
J58,B,1.68
J58,C10-12,43.15
J58,C13-15,10.51
J58,C16,53.14
J58,C17,1040.06
J58,C18,1355.25
J58,C19,31.37
J58,C20,82.41
J58,C21,0.22
J58,C22,172.56
J58,C23,4.19
J58,C24,15.85
J58,C25,40.42
J58,C26,24.9
J58,C27,16.92
J58,C28,15.16
J58,C29,3.51
J58,C30,4.18
J58,C31_32,9.33
J58,C33,14.75
J58,D,106.44
J58,E36,19.64
J58,E37-39,104.87
J58,F,47.73
J58,G45,21.19
J58,G46,826.93
J58,G47,57.8
J58,H49,164.92
J58,H50,1.42
J58,H51,14.37
J58,H52,481.35
J58,H53,108.02
J58,I,139.52
J58,J58,660.36
J58,J59_60,1321.37
J58,J61,271.21
J58,J62_63,436.95
J58,K64,298.31
J58,K65,77.26
J58,K66,35.93
J58,L68B,450.29
J58,L68A,0
J58,M69_70,1149.64
J58,M71,145.1
J58,M72,0.08
J58,M73,292.66
J58,M74_75,33.55
J58,N77,214.5
J58,N78,37.84
J58,N79,10.6
J58,N80-82,411.55
J58,O,0
J58,P,37.13
J58,Q86,10.75
J58,Q87_88,0
J58,R90-92,0.94
J58,R93,19.54
J58,S94,43.52
J58,S95,7.12
J58,S96,15.44
J58,T,0
J58,HH,8170.13
J59_60,A01,0
J59_60,A02,6.83
J59_60,A03,3.04
J59_60,B,0.63
J59_60,C10-12,308.22
J59_60,C13-15,115.31
J59_60,C16,137.33
J59_60,C17,538.47
J59_60,C18,1051.4
J59_60,C19,151.02
J59_60,C20,123.11
J59_60,C21,0
J59_60,C22,87.9
J59_60,C23,1.08
J59_60,C24,6.01
J59_60,C25,20.25
J59_60,C26,7.64
J59_60,C27,8.16
J59_60,C28,29.41
J59_60,C29,39.34
J59_60,C30,1.29
J59_60,C31_32,87.1
J59_60,C33,4.45
J59_60,D,1218.22
J59_60,E36,318.75
J59_60,E37-39,142.99
J59_60,F,509.31
J59_60,G45,144.88
J59_60,G46,807.21
J59_60,G47,71.59
J59_60,H49,540.49
J59_60,H50,1.48
J59_60,H51,18.87
J59_60,H52,217.81
J59_60,H53,178.76
J59_60,I,462.76
J59_60,J58,93.64
J59_60,J59_60,1236.13
J59_60,J61,220.28
J59_60,J62_63,143.23
J59_60,K64,363.86
J59_60,K65,32.88
J59_60,K66,11.63
J59_60,L68B,358.43
J59_60,L68A,0
J59_60,M69_70,811.69
J59_60,M71,162.4
J59_60,M72,0
J59_60,M73,96.67
J59_60,M74_75,40.98
J59_60,N77,383.57
J59_60,N78,31
J59_60,N79,1.79
J59_60,N80-82,527.21
J59_60,O,0
J59_60,P,73.96
J59_60,Q86,4.65
J59_60,Q87_88,0
J59_60,R90-92,0
J59_60,R93,66.08
J59_60,S94,20.78
J59_60,S95,150
J59_60,S96,41.4
J59_60,T,0
J59_60,HH,5714
J61,A01,0
J61,A02,0
J61,A03,0.44
J61,B,9.53
J61,C10-12,212.96
J61,C13-15,27.02
J61,C16,89.35
J61,C17,56.68
J61,C18,436.15
J61,C19,187.31
J61,C20,38.43
J61,C21,0.19
J61,C22,297.81
J61,C23,37.07
J61,C24,4.2
J61,C25,222.91
J61,C26,372.83
J61,C27,291.3
J61,C28,55.28
J61,C29,29.09
J61,C30,1.05
J61,C31_32,33.45
J61,C33,278.79
J61,D,974.7
J61,E36,100.01
J61,E37-39,220.71
J61,F,612.58
J61,G45,50.41
J61,G46,1110.23
J61,G47,94.57
J61,H49,297.26
J61,H50,1.13
J61,H51,22.71
J61,H52,240.33
J61,H53,1033.42
J61,I,405.23
J61,J58,80.24
J61,J59_60,779.39
J61,J61,11969.04
J61,J62_63,905.46
J61,K64,716.62
J61,K65,871.26
J61,K66,467.07
J61,L68B,1201.1
J61,L68A,0
J61,M69_70,1831.2
J61,M71,244.77
J61,M72,0
J61,M73,708.23
J61,M74_75,106.42
J61,N77,1168.96
J61,N78,90
J61,N79,12.46
J61,N80-82,1189.57
J61,O,0
J61,P,435.73
J61,Q86,22.16
J61,Q87_88,0
J61,R90-92,0
J61,R93,56.69
J61,S94,141.28
J61,S95,58.42
J61,S96,84.32
J61,T,0
J61,HH,8687
J62_63,A01,0.03
J62_63,A02,0.02
J62_63,A03,0
J62_63,B,2.95
J62_63,C10-12,130.41
J62_63,C13-15,2.92
J62_63,C16,8.11
J62_63,C17,35
J62_63,C18,186.77
J62_63,C19,130.47
J62_63,C20,54.71
J62_63,C21,1.2
J62_63,C22,52.85
J62_63,C23,12.53
J62_63,C24,4.75
J62_63,C25,74.34
J62_63,C26,200.14
J62_63,C27,117.53
J62_63,C28,17.38
J62_63,C29,8.56
J62_63,C30,0.41
J62_63,C31_32,17.52
J62_63,C33,31.99
J62_63,D,143.97
J62_63,E36,17.53
J62_63,E37-39,284.43
J62_63,F,119.54
J62_63,G45,28.24
J62_63,G46,745.64
J62_63,G47,42.42
J62_63,H49,116.94
J62_63,H50,0.55
J62_63,H51,53.33
J62_63,H52,403.39
J62_63,H53,360.69
J62_63,I,684.77
J62_63,J58,171.78
J62_63,J59_60,1594.32
J62_63,J61,1282.79
J62_63,J62_63,6564.08
J62_63,K64,288.79
J62_63,K65,225.35
J62_63,K66,68.1
J62_63,L68B,1743.08
J62_63,L68A,0
J62_63,M69_70,2527.91
J62_63,M71,358.39
J62_63,M72,6.89
J62_63,M73,303.8
J62_63,M74_75,80.72
J62_63,N77,694.3
J62_63,N78,232.88
J62_63,N79,64.52
J62_63,N80-82,1064.51
J62_63,O,0
J62_63,P,398.65
J62_63,Q86,22.88
J62_63,Q87_88,0
J62_63,R90-92,3.96
J62_63,R93,96.01
J62_63,S94,41.67
J62_63,S95,15.59
J62_63,S96,72.76
J62_63,T,0
J62_63,HH,29226.49
K64,A01,0
K64,A02,1.27
K64,A03,0
K64,B,6.32
K64,C10-12,18.55
K64,C13-15,5.81
K64,C16,3.47
K64,C17,123.96
K64,C18,167.91
K64,C19,94.1
K64,C20,1.7
K64,C21,0.92
K64,C22,7.25
K64,C23,0
K64,C24,0
K64,C25,1.77
K64,C26,22.81
K64,C27,3.73
K64,C28,5.25
K64,C29,7.16
K64,C30,0.18
K64,C31_32,19
K64,C33,51.57
K64,D,222.01
K64,E36,27.46
K64,E37-39,21.15
K64,F,245.52
K64,G45,12.72
K64,G46,238.2
K64,G47,21.47
K64,H49,124.73
K64,H50,0.75
K64,H51,187.79
K64,H52,57.35
K64,H53,431.37
K64,I,400.6
K64,J58,1311.41
K64,J59_60,61.72
K64,J61,2953.77
K64,J62_63,3014.06
K64,K64,16333.5
K64,K65,253.35
K64,K66,10315
K64,L68B,3324.62
K64,L68A,0
K64,M69_70,1597.75
K64,M71,513.82
K64,M72,0
K64,M73,536.47
K64,M74_75,583.99
K64,N77,1416.91
K64,N78,1186.37
K64,N79,6.08
K64,N80-82,1877.56
K64,O,0
K64,P,552.16
K64,Q86,12.85
K64,Q87_88,0
K64,R90-92,0
K64,R93,1.74
K64,S94,111
K64,S95,248.75
K64,S96,0
K64,T,0
K64,HH,30324
K65,A01,0
K65,A02,0
K65,A03,0
K65,B,0
K65,C10-12,13.78
K65,C13-15,2.6
K65,C16,0
K65,C17,61.77
K65,C18,114.18
K65,C19,44.11
K65,C20,3.25
K65,C21,0.97
K65,C22,12.66
K65,C23,0
K65,C24,0
K65,C25,0
K65,C26,4.73
K65,C27,3.13
K65,C28,0.37
K65,C29,5.43
K65,C30,0
K65,C31_32,10.4
K65,C33,11.2
K65,D,135.75
K65,E36,8.99
K65,E37-39,43.43
K65,F,268.33
K65,G45,59.1
K65,G46,111.44
K65,G47,9.03
K65,H49,83.97
K65,H50,0.31
K65,H51,127.48
K65,H52,79.08
K65,H53,55.07
K65,I,144.66
K65,J58,385.02
K65,J59_60,12.24
K65,J61,662.17
K65,J62_63,798.36
K65,K64,3907.77
K65,K65,4013.53
K65,K66,18828.99
K65,L68B,1339.61
K65,L68A,0
K65,M69_70,1575.92
K65,M71,458.69
K65,M72,0
K65,M73,426.96
K65,M74_75,485.72
K65,N77,1183.2
K65,N78,157.19
