purchasing,purchased,total
A02,C10-C12,51.4
A03,C10-C12,379.1
B,C10-C12,156.41
C10-C12,C10-C12,147797.02
C13-C15,C10-C12,2117.81
C16,C10-C12,73.48
C17,C10-C12,665.17
C18,C10-C12,63.53
C19,C10-C12,365.59
C20,C10-C12,6800.83
C21,C10-C12,1475.77
C22,C10-C12,273.94
C23,C10-C12,219.56
C24,C10-C12,172.72
C25,C10-C12,193.99
C26,C10-C12,109.57
C27,C10-C12,94.88
C28,C10-C12,183.91
C29,C10-C12,172.04
C30,C10-C12,46.96
C31_C32,C10-C12,247.96
C33,C10-C12,187.07
D35,C10-C12,418.21
E36,C10-C12,29.37
E37-E39,C10-C12,426.48
F,C10-C12,1279.79
G45,C10-C12,765.21
G46,C10-C12,9147.47
G47,C10-C12,6487.47
H49,C10-C12,476.62
H50,C10-C12,726.08
H51,C10-C12,336.57
H52,C10-C12,565.42
H53,C10-C12,136.82
I,C10-C12,87843.16
J58,C10-C12,148.01
J59_J60,C10-C12,625.75
J61,C10-C12,358.63
J62_J63,C10-C12,590.1
K64,C10-C12,310.78
K65,C10-C12,106.5
K66,C10-C12,84
L68B,C10-C12,1940.47
L68A,C10-C12,182.38
M69_M70,C10-C12,1290.73
M71,C10-C12,508.95
M72,C10-C12,732.25
M73,C10-C12,553.72
M74_M75,C10-C12,534.57
N77,C10-C12,864.21
N78,C10-C12,307.5
N79,C10-C12,146.59
N80-N82,C10-C12,1184.33
O84,C10-C12,3362.91
P85,C10-C12,3868.65
Q86,C10-C12,8536.59
Q87_Q88,C10-C12,5367.92
R90-R92,C10-C12,1006.37
R93,C10-C12,2093.89
S94,C10-C12,806.23
S95,C10-C12,80.96
S96,C10-C12,404.53
T,C10-C12,9.44
U,C10-C12,0
P3,C10-C12,544376.44
P51,C10-C12,70.72
A01,C13-C15,515.42
A02,C13-C15,50.02
A03,C13-C15,226.73
B,C13-C15,111.12
C10-C12,C13-C15,800.72
C13-C15,C13-C15,61769.68
C16,C13-C15,381.93
C17,C13-C15,1816.90
C18,C13-C15,174.42
C19,C13-C15,108.29
C20,C13-C15,1320.31
C21,C13-C15,362.35
C22,C13-C15,2761.98
C23,C13-C15,380.02
C24,C13-C15,347.7
C25,C13-C15,798.48
C26,C13-C15,396.62
C27,C13-C15,356.3
C28,C13-C15,771.73
C29,C13-C15,4182.04
C30,C13-C15,530.88
C31_C32,C13-C15,3330.20
C33,C13-C15,542.65
D35,C13-C15,178.17
E36,C13-C15,35.99
E37-E39,C13-C15,465.99
F,C13-C15,2062.01
G45,C13-C15,667.1
G46,C13-C15,3663.84
G47,C13-C15,2167.09
H49,C13-C15,299.57
H50,C13-C15,65.34
H51,C13-C15,91.75
H52,C13-C15,241.69
H53,C13-C15,83.1
I,C13-C15,1548.04
J58,C13-C15,79.97
J59_J60,C13-C15,388.45
J61,C13-C15,153.4
J62_J63,C13-C15,223.96
K64,C13-C15,146.5
K65,C13-C15,36.75
K66,C13-C15,34.32
L68B,C13-C15,501.71
L68A,C13-C15,52.56
M69_M70,C13-C15,279.53
